,result,table,duration_in_ms,event_code,header.cycle_id,header.run_id,tag,timestamp,user_message
643,_result,0,0.0,102.0,71,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319121.029237,TASK_PAUSED
644,_result,0,2928.0,103.0,71,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319123.8956182,TASK_RESUMED
645,_result,0,0.0,301.0,71,RAFCON_6fe11a087d844888b527cad1140070f4,step_3,1632319129.8376977,QA_FAIL
646,_result,0,0.0,201.0,71,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319129.9033258,CYCLE_END
647,_result,0,18012.0,202.0,71,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319129.9414668,CYCLE_TIME
648,_result,0,0.0,300.0,71,RAFCON_6fe11a087d844888b527cad1140070f4,cycle,1632319129.9653563,QA_PASS
649,_result,0,0.0,200.0,72,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319130.0031695,CYCLE_START
650,_result,0,0.0,300.0,72,RAFCON_6fe11a087d844888b527cad1140070f4,step_1,1632319138.5624099,QA_PASS
651,_result,0,0.0,301.0,72,RAFCON_6fe11a087d844888b527cad1140070f4,step_2,1632319142.8704329,QA_FAIL
652,_result,0,0.0,102.0,72,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319142.9653966,TASK_PAUSED
653,_result,0,1649.0,103.0,72,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319144.5819123,TASK_RESUMED
654,_result,0,0.0,300.0,72,RAFCON_6fe11a087d844888b527cad1140070f4,step_3,1632319145.4660437,QA_PASS
655,_result,0,0.0,201.0,72,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319145.5129788,CYCLE_END
656,_result,0,15549.0,202.0,72,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319145.5536919,CYCLE_TIME
657,_result,0,0.0,300.0,72,RAFCON_6fe11a087d844888b527cad1140070f4,cycle,1632319145.5774045,QA_PASS
658,_result,0,0.0,200.0,73,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319145.61201,CYCLE_START
659,_result,0,0.0,300.0,73,RAFCON_6fe11a087d844888b527cad1140070f4,step_1,1632319149.8946416,QA_PASS
660,_result,0,0.0,301.0,73,RAFCON_6fe11a087d844888b527cad1140070f4,step_2,1632319152.5249681,QA_FAIL
661,_result,0,0.0,102.0,73,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319152.6044872,TASK_PAUSED
662,_result,0,1437.0,103.0,73,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319154.0491774,TASK_RESUMED
663,_result,0,0.0,300.0,73,RAFCON_6fe11a087d844888b527cad1140070f4,step_3,1632319162.0789511,QA_PASS
664,_result,0,0.0,201.0,73,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319162.1178572,CYCLE_END
665,_result,0,16534.0,202.0,73,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319162.1668618,CYCLE_TIME
666,_result,0,0.0,300.0,73,RAFCON_6fe11a087d844888b527cad1140070f4,cycle,1632319162.2093937,QA_PASS
667,_result,0,0.0,200.0,74,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319162.3012953,CYCLE_START
668,_result,0,0.0,300.0,74,RAFCON_6fe11a087d844888b527cad1140070f4,step_1,1632319164.6777308,QA_PASS
669,_result,0,0.0,300.0,74,RAFCON_6fe11a087d844888b527cad1140070f4,step_2,1632319166.861638,QA_PASS
670,_result,0,0.0,102.0,74,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319166.9058454,TASK_PAUSED
