#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:58.298Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:58.322Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:58.338Z,4968,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:58.346Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:58.364Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:59.796Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:12:00.226Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:12:00.27Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:12:00.432Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:12:01.128Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:12:01.2Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:12:01.232Z,2863,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:12:01.256Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:12:01.302Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:12:02.174Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:12:03.16Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:12:03.19Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:12:03.336Z,0,duration_in_ms,EventClient
